date,dxy
2021-01-04,89.88
2021-01-05,89.44
2021-01-06,89.53
2021-01-07,89.83
2021-01-08,90.1
2021-01-11,90.54
2021-01-12,90.05
2021-01-13,90.32
2021-01-14,90.24
2021-01-15,90.78
2021-01-19,90.5
2021-01-20,90.47
2021-01-21,90.13
2021-01-22,90.24
2021-01-25,90.39
2021-01-26,90.17
2021-01-27,90.65
2021-01-28,90.46
2021-01-29,90.58
2021-02-01,91.02
2021-02-02,91.2
2021-02-03,91.12
2021-02-04,91.53
2021-02-05,91.04
2021-02-08,90.93
2021-02-09,90.44
2021-02-10,90.37
2021-02-11,90.42
2021-02-12,90.48
2021-02-16,90.51
2021-02-17,90.95
2021-02-18,90.59
2021-02-19,90.36
2021-02-22,90.01
2021-02-23,90.17
2021-02-24,90.18
2021-02-25,90.13
2021-02-26,90.93
2021-03-01,91.04
2021-03-02,90.79
2021-03-03,90.95
2021-03-04,91.63
2021-03-05,91.98
2021-03-08,92.31
2021-03-09,91.96
2021-03-10,91.79
2021-03-11,91.42
2021-03-12,91.68
2021-03-15,91.83
2021-03-16,91.87
2021-03-17,91.4
2021-03-18,91.85
2021-03-19,91.92
2021-03-22,91.8
2021-03-23,92.34
2021-03-24,92.53
2021-03-25,92.88
2021-03-26,92.77
2021-03-29,92.94
2021-03-30,93.3
2021-03-31,93.23
2021-04-01,92.93
2021-04-05,92.6
2021-04-06,92.34
2021-04-07,92.46
2021-04-08,92.06
2021-04-09,92.16
2021-04-12,92.14
2021-04-13,91.85
2021-04-14,91.69
2021-04-15,91.67
2021-04-16,91.56
2021-04-19,91.07
2021-04-20,91.24
2021-04-21,91.16
2021-04-22,91.33
2021-04-23,90.86
2021-04-26,90.81
2021-04-27,90.91
2021-04-28,90.61
2021-04-29,90.61
2021-04-30,91.28
2021-05-03,90.95
2021-05-04,91.29
2021-05-05,91.31
2021-05-06,90.95
2021-05-07,90.23
2021-05-10,90.21
2021-05-11,90.14
2021-05-12,90.71
2021-05-13,90.75
2021-05-14,90.32
2021-05-17,90.22
2021-05-18,89.75
2021-05-19,90.19
2021-05-20,89.81
2021-05-21,90.02
2021-05-24,89.83
2021-05-25,89.64
2021-05-26,90.04
2021-05-27,89.97
2021-05-28,90.03
2021-06-01,89.83
2021-06-02,89.9
2021-06-03,90.5
2021-06-04,90.14
2021-06-07,89.95
2021-06-08,90.08
2021-06-09,90.12
2021-06-10,90.08
2021-06-11,90.56
2021-06-14,90.52
2021-06-15,90.54
2021-06-16,91.13
2021-06-17,91.89
2021-06-18,92.23
2021-06-21,91.86
2021-06-22,91.73
2021-06-23,91.8
2021-06-24,91.82
2021-06-25,91.81
2021-06-28,91.88
2021-06-29,92.05
2021-06-30,92.44
2021-07-01,92.6
2021-07-02,92.23
2021-07-06,92.55
2021-07-07,92.64
2021-07-08,92.36
2021-07-09,92.13
2021-07-12,92.23
2021-07-13,92.75
2021-07-14,92.41
2021-07-15,92.62
2021-07-16,92.69
2021-07-19,92.89
2021-07-20,92.97
2021-07-21,92.75
2021-07-22,92.82
2021-07-23,92.91
2021-07-26,92.65
2021-07-27,92.43
2021-07-28,92.32
2021-07-29,91.86
2021-07-30,92.17
2021-08-02,92.05
2021-08-03,92.08
2021-08-04,92.27
2021-08-05,92.24
2021-08-06,92.8
2021-08-09,92.95
2021-08-10,93.06
2021-08-11,92.91
2021-08-12,93.04
2021-08-13,92.52
2021-08-16,92.63
2021-08-17,93.13
2021-08-18,93.14
2021-08-19,93.57
2021-08-20,93.5
2021-08-23,92.96
2021-08-24,92.89
2021-08-25,92.83
2021-08-26,93.06
2021-08-27,92.69
2021-08-30,92.65
2021-08-31,92.63
2021-09-01,92.45
2021-09-02,92.23
2021-09-03,92.04
2021-09-07,92.52
2021-09-08,92.65
2021-09-09,92.48
2021-09-10,92.58
2021-09-13,92.62
2021-09-14,92.65
2021-09-15,92.49
2021-09-16,92.86
2021-09-17,93.2
2021-09-20,93.24
2021-09-21,93.2
2021-09-22,93.46
2021-09-23,93.1
2021-09-24,93.33
2021-09-27,93.38
2021-09-28,93.77
2021-09-29,94.34
2021-09-30,94.25
2021-10-01,94.04
2021-10-04,93.81
2021-10-05,93.98
2021-10-06,94.27
2021-10-07,94.22
2021-10-08,94.07
2021-10-11,94.32
2021-10-12,94.52
2021-10-13,94.08
2021-10-14,93.96
2021-10-15,93.94
2021-10-18,93.95
2021-10-19,93.79
2021-10-20,93.56
2021-10-21,93.77
2021-10-22,93.61
2021-10-25,93.81
2021-10-26,93.95
2021-10-27,93.86
2021-10-28,93.35
2021-10-29,94.12
2021-11-01,93.88
2021-11-02,94.09
2021-11-03,93.86
2021-11-04,94.35
2021-11-05,94.32
2021-11-08,94.05
2021-11-09,93.96
2021-11-10,94.85
2021-11-11,95.18
2021-11-12,95.13
2021-11-15,95.41
2021-11-16,95.92
2021-11-17,95.83
