date,close,open,high,low
2020-10-19,11478.88,11732.34,11778.11,11454.57
2020-10-20,11516.49,11609.56,11632.89,11471.23
2020-10-21,11484.69,11530.39,11613.79,11476.08
2020-10-22,11506.01,11526.97,11548.77,11369.29
2020-10-23,11548.28,11536.00,11548.85,11434.86
2020-10-26,11358.94,11440.64,11545.63,11221.06
2020-10-27,11431.35,11409.34,11465.06,11361.86
2020-10-28,11004.87,11230.90,11249.95,10999.07
2020-10-29,11185.59,11064.47,11287.63,11030.19
2020-10-30,10911.59,11103.47,11129.81,10822.57
2020-11-02,10957.61,11010.45,11071.08,10830.95
2020-11-03,11160.57,11038.66,11213.92,11004.84
2020-11-04,11590.78,11443.77,11663.31,11394.21
2020-11-05,11890.93,11816.33,11924.28,11784.15
2020-11-06,11895.23,11869.90,11920.54,11737.13
2020-11-09,11713.78,12046.66,12108.07,11703.49
2020-11-10,11553.86,11622.44,11665.87,11424.61
2020-11-11,11786.43,11656.65,11793.57,11638.90
2020-11-12,11709.59,11802.50,11847.84,11666.37
2020-11-13,11829.29,11794.94,11849.79,11715.52
2020-11-16,11924.13,11847.11,11937.72,11814.89
2020-11-17,11899.34,11913.35,11950.18,11852.41
2020-11-18,11801.60,11896.06,11942.49,11799.96
2020-11-19,11904.71,11779.04,11912.63,11760.98
2020-11-20,11854.97,11892.70,11935.47,11852.51
2020-11-23,11881.17,11916.76,11949.33,11796.53
2020-11-24,12037.33,11939.33,12049.88,11863.45
2020-11-25,12094.40,12069.34,12114.77,12020.95
2020-11-27,12205.85,12159.18,12236.23,12154.57
2020-11-30,12198.74,12224.25,12244.65,12027.16
2020-12-01,12355.11,12313.36,12405.79,12263.93
2020-12-02,12349.37,12285.75,12360.06,12217.35
2020-12-03,12377.18,12369.26,12439.02,12356.99
2020-12-04,12464.23,12399.32,12464.23,12376.44
2020-12-07,12519.95,12461.00,12536.23,12460.55
2020-12-08,12582.77,12503.17,12594.54,12453.21
2020-12-09,12338.95,12591.69,12607.14,12290.78
2020-12-10,12405.81,12247.55,12431.56,12214.74
2020-12-11,12377.87,12336.79,12383.50,12246.77
2020-12-14,12440.04,12447.44,12543.00,12432.71
2020-12-15,12595.06,12543.26,12596.13,12465.42
2020-12-16,12658.19,12611.04,12687.32,12566.38
2020-12-17,12764.75,12730.78,12765.25,12696.35
2020-12-18,12755.64,12804.93,12809.60,12654.60
2020-12-21,12742.52,12596.14,12751.27,12525.22
2020-12-22,12807.92,12785.22,12840.57,12695.31
2020-12-23,12771.11,12834.94,12841.92,12758.67
2020-12-24,12804.73,12791.54,12833.55,12767.64
2020-12-28,12899.42,12914.64,12930.89,12827.45
2020-12-29,12850.22,12965.39,12973.33,12821.96
2020-12-30,12870.00,12906.51,12924.93,12857.76
2020-12-31,12888.28,12877.09,12902.07,12821.23
2021-01-04,12698.45,12958.52,12958.72,12543.24
2021-01-05,12818.96,12665.65,12828.27,12665.65
2021-01-06,12740.79,12666.15,12909.63,12649.99
2021-01-07,13067.48,12867.34,13090.91,12867.34
2021-01-08,13201.98,13160.22,13208.09,13036.55
2021-01-11,13036.43,13048.78,13138.27,12999.51
2021-01-12,13072.43,13062.06,13105.04,12963.92
2021-01-13,13128.95,13088.01,13171.15,13051.06
2021-01-14,13112.64,13174.75,13220.16,13098.41
2021-01-15,12998.50,13099.90,13139.83,12949.76
2021-01-19,13197.18,13132.73,13206.86,13078.70
2021-01-20,13457.25,13342.55,13486.13,13329.77
2021-01-21,13530.91,13521.48,13560.35,13454.07
2021-01-22,13543.06,13474.81,13567.14,13463.66
2021-01-25,13635.99,13681.21,13728.98,13368.68
2021-01-26,13626.06,13681.72,13702.69,13603.19
2021-01-27,13270.60,13486.58,13538.42,13192.91
2021-01-28,13337.16,13323.29,13507.64,13316.52
2021-01-29,13070.69,13284.72,13322.00,12985.05
2021-02-01,13403.39,13226.18,13431.46,13132.47
2021-02-02,13612.78,13543.10,13652.69,13535.86
2021-02-03,13610.54,13718.31,13723.83,13585.34
2021-02-04,13777.74,13674.06,13778.42,13631.62
2021-02-05,13856.30,13824.88,13878.16,13761.66
2021-02-08,13987.64,13937.06,13987.74,13894.15
2021-02-09,14007.70,13966.81,14044.95,13966.55
2021-02-10,13972.53,14093.35,14109.12,13845.47
2021-02-11,14025.77,14045.21,14058.91,13916.85
2021-02-12,14095.47,13979.21,14102.04,13937.71
2021-02-16,14047.50,14152.21,14175.11,13995.45
2021-02-17,13965.49,13911.65,13976.43,13804.26
2021-02-18,13865.36,13814.67,13905.96,13714.35
2021-02-19,13874.46,13929.20,13985.58,13842.60
2021-02-22,13533.05,13714.20,13757.06,13530.96
2021-02-23,13465.20,13262.61,13526.09,13003.98
2021-02-24,13597.97,13400.25,13607.36,13286.59
2021-02-25,13119.43,13512.64,13602.86,13066.38
2021-02-26,13192.35,13192.35,13368.06,13024.53
2021-03-01,13588.83,13406.16,13596.59,13362.66
2021-03-02,13358.79,13599.45,13601.33,13352.00
2021-03-03,12997.75,13336.25,13372.52,12995.07
2021-03-04,12723.47,12953.99,13068.71,12553.96
2021-03-05,12920.15,12860.04,12941.21,12397.05
2021-03-08,12609.16,12904.26,13001.00,12599.23
2021-03-09,13073.82,12923.07,13151.54,12882.49
2021-03-10,13068.83,13234.73,13277.11,13035.44
2021-03-11,13398.67,13273.31,13433.62,13246.33
2021-03-12,13319.86,13222.81,13324.69,13158.72
2021-03-15,13459.71,13323.47,13460.35,13272.50
2021-03-16,13471.57,13523.17,13620.71,13397.08
2021-03-17,13525.20,13336.91,13595.00,13272.69
2021-03-18,13116.17,13349.20,13384.46,13101.92
2021-03-19,13215.24,13119.90,13252.37,13039.45
2021-03-22,13377.54,13278.78,13455.64,13278.78
2021-03-23,13227.70,13381.43,13405.14,13202.43
2021-03-24,12961.89,13289.24,13292.92,12961.35
2021-03-25,12977.68,12844.58,13021.86,12786.81
2021-03-26,13138.72,12996.03,13149.55,12878.72
2021-03-29,13059.65,13103.97,13143.41,12968.16
2021-03-30,13045.39,13008.80,13075.75,12922.57
2021-03-31,13246.87,13122.57,13325.54,13118.38
2021-04-01,13480.11,13414.32,13487.08,13404.18
2021-04-05,13705.59,13594.90,13720.58,13582.76
2021-04-06,13698.38,13681.67,13776.71,13674.28
2021-04-07,13688.84,13675.30,13733.03,13653.59
2021-04-08,13829.31,13796.89,13830.14,13758.71
2021-04-09,13900.19,13787.01,13905.41,13748.35
2021-04-12,13850.00,13854.44,13877.00,13783.95
2021-04-13,13996.10,13902.45,14011.51,13902.45
2021-04-14,13857.84,14005.27,14033.63,13839.04
2021-04-15,14038.76,13983.23,14049.13,13970.42
2021-04-16,14052.34,14059.11,14062.50,13977.05
2021-04-19,13914.77,13984.58,14041.79,13842.57
2021-04-20,13786.27,13894.46,13927.67,13698.67
2021-04-21,13950.22,13745.77,13951.35,13706.86
2021-04-22,13818.41,13952.57,14015.87,13771.04
2021-04-23,14016.81,13861.37,14062.74,13856.83
2021-04-26,14138.78,14052.38,14154.03,14019.50
2021-04-27,14090.22,14170.91,14171.24,14064.28
2021-04-28,14051.03,14082.78,14133.65,14034.70
2021-04-29,14082.55,14204.51,14211.57,13952.80
2021-04-30,13962.68,13970.73,14084.76,13941.63
2021-05-03,13895.12,14031.77,14042.12,13881.51
2021-05-04,13633.50,13774.51,13795.57,13485.59
2021-05-05,13582.42,13731.13,13753.05,13553.93
2021-05-06,13632.84,13557.83,13635.73,13439.39
2021-05-07,13752.24,13723.09,13828.62,13690.75
2021-05-10,13401.86,13687.59,13687.93,13401.74
2021-05-11,13389.43,13363.99,13423.31,13107.67
2021-05-12,13031.68,13215.49,13288.61,13002.54
2021-05-13,13124.99,13150.94,13247.87,13007.24
2021-05-14,13379.05,13255.65,13460.88,13242.97
2021-05-17,13379.05,13368.80,13399.17,13265.40
2021-05-18,13303.64,13416.90,13485.34,13299.93
2021-05-19,13299.74,13078.19,13304.61,13072.23
