ticker,date,open,high,low,close
SYRUP,2022-05-15,23.2651,23.5521,23.0623,23.332
SYRUP,2022-05-16,23.8633,24.982,23.3722,24.1925
SYRUP,2022-05-17,23.9537,24.0,23.42,23.6
SYRUP,2022-05-18,23.55,24.07,23.01,23.14
SYRUP,2022-05-19,23.17,24.59,22.36,23.57
SYRUP,2022-05-20,24.52,25.13,23.43,24.2
SYRUP,2022-05-21,24.19,24.44,23.87,24.15
SYRUP,2022-05-22,24.15,26.97,22.68,23.93
SYRUP,2022-05-23,23.95,25.87,23.31,23.63
SYRUP,2022-05-24,23.63,24.15,22.56,22.91
SYRUP,2022-05-25,22.89,23.05,22.5,22.89
SYRUP,2022-05-26,22.83,23.09,21.45,21.56
SYRUP,2022-05-27,21.75,23.32,21.03,21.94
SYRUP,2022-05-28,21.94,22.22,21.3,21.43
SYRUP,2022-05-29,21.44,21.7,21.24,21.42
SYRUP,2022-05-30,21.43,23.37,21.4,23.23
SYRUP,2022-05-31,23.23,28.91,23.22,27.4
SYRUP,2022-06-01,27.39,27.9,26.35,26.94
SYRUP,2022-06-02,26.98,29.75,26.91,28.92
SYRUP,2022-06-03,28.96,31.38,28.77,29.17
SYRUP,2022-06-04,28.97,29.27,28.38,28.69
SYRUP,2022-06-05,28.68,28.72,27.52,27.56
SYRUP,2022-06-06,27.55,28.19,27.5,27.71
SYRUP,2022-06-07,27.74,29.44,27.65,28.59
SYRUP,2022-06-08,28.53,28.57,27.69,28.15
SYRUP,2022-06-09,27.9815,29.4605,27.9815,29.0976
SYRUP,2022-06-10,29.0976,29.2619,20.9795,27.6148
SYRUP,2022-06-11,27.84,28.0,26.91,27.36
SYRUP,2022-06-12,27.37,27.4,23.53,23.53
SYRUP,2022-06-13,23.53,23.61,18.51,18.7
SYRUP,2022-06-14,18.7,19.51,18.22,19.08
SYRUP,2022-06-15,19.14,19.2,15.52,16.15
SYRUP,2022-06-16,16.71,17.7058,16.0891,16.8652
SYRUP,2022-06-17,16.5128,16.69,16.0962,16.6
SYRUP,2022-06-18,16.59,16.62,14.4,14.93
SYRUP,2022-06-19,14.9291,16.1286,14.9291,15.7765
SYRUP,2022-06-20,15.483,16.4019,14.162,16.2661
SYRUP,2022-06-21,16.333,16.47,15.6981,15.9
SYRUP,2022-06-22,15.92,16.21,15.37,15.42
SYRUP,2022-06-23,15.39,15.4,14.08,14.3
SYRUP,2022-06-24,14.21,15.0,13.7201,14.35
SYRUP,2022-06-25,14.35,14.85,14.29,14.43
SYRUP,2022-06-26,14.47,14.95,14.46,14.62
SYRUP,2022-06-27,14.62,14.88,14.12,14.27
SYRUP,2022-06-28,14.27,14.63,13.93,13.98
SYRUP,2022-06-29,13.98,14.25,11.01,11.04
SYRUP,2022-06-30,11.04,11.39,8.25,8.64
SYRUP,2022-07-01,8.62,9.38,8.35,9.08
SYRUP,2022-07-02,9.07,9.07,8.44,8.55
SYRUP,2022-07-03,8.48,8.48,7.9,8.19
SYRUP,2022-07-04,8.11,9.24,7.98,8.52
SYRUP,2022-07-05,8.51,9.42,8.41,9.06
SYRUP,2022-07-06,8.99,9.48,8.55,8.61
SYRUP,2022-07-07,8.58,8.96,8.25,8.53
SYRUP,2022-07-08,8.51,9.1,7.97,9.03
SYRUP,2022-07-09,9.05,10.61,8.87,10.1
SYRUP,2022-07-10,10.26,12.34,8.54907,10.0982
SYRUP,2022-07-11,10.0442,10.9869,9.54847,10.4375
SYRUP,2022-07-12,10.29,10.67,9.56,9.59
SYRUP,2022-07-13,9.57,9.93,9.02,9.66399
SYRUP,2022-07-14,9.70456,10.98,9.70456,10.84
SYRUP,2022-07-15,10.87,14.5,10.65,13.33
SYRUP,2022-07-16,13.42,14.7,12.89,13.62
SYRUP,2022-07-17,13.66,14.06,12.96,13.21
SYRUP,2022-07-18,13.75,14.72,13.59,14.25
SYRUP,2022-07-19,14.22,14.96,13.87,14.74
SYRUP,2022-07-20,14.69,14.88,13.39,13.76
SYRUP,2022-07-21,13.81,14.69,13.63,14.52
SYRUP,2022-07-22,14.51,14.76,14.01,14.26
SYRUP,2022-07-23,14.08,14.77,14.08,14.21
SYRUP,2022-07-24,14.19,14.62,13.93,14.59
SYRUP,2022-07-25,14.59,15.0,14.06,14.79
SYRUP,2022-07-26,14.7379,14.9047,12.72,12.73
SYRUP,2022-07-27,12.73,13.44,12.48,13.23
SYRUP,2022-07-28,13.24,14.9,13.15,14.78
SYRUP,2022-07-29,14.86,15.96,14.25,15.96
SYRUP,2022-07-30,16.84,17.24,15.46,16.69
SYRUP,2022-07-31,16.69,16.72,15.76,15.88
SYRUP,2022-08-01,15.76,16.23,14.85,15.6
SYRUP,2022-08-02,15.63,15.7,15.366,15.398
SYRUP,2022-08-03,15.3903,15.5672,15.2571,15.5658
SYRUP,2022-08-04,15.6,15.67,15.09,15.25
SYRUP,2022-08-05,14.8087,15.5456,14.5906,15.06
SYRUP,2022-08-06,14.84,17.2,14.84,15.66
SYRUP,2022-08-07,15.64,17.1,15.63,16.03
SYRUP,2022-08-08,16.03,16.92,15.81,16.23
SYRUP,2022-08-09,15.8425,17.6807,15.3364,16.6632
SYRUP,2022-08-10,16.55,17.6193,16.1488,17.1656
SYRUP,2022-08-11,17.2358,18.5,17.1207,17.7671
SYRUP,2022-08-12,17.7685,54.0275,17.7685,23.5108
SYRUP,2022-08-13,23.5108,23.9879,20.7549,21.1886
SYRUP,2022-08-14,21.3049,22.4507,20.3881,20.7358
SYRUP,2022-08-15,20.4277,21.1293,19.2395,19.2408
SYRUP,2022-08-16,19.2408,19.8709,18.1219,18.3943
SYRUP,2022-08-17,18.3943,19.6043,18.1202,18.8028
SYRUP,2022-08-18,18.8032,19.8973,18.6702,19.2368
SYRUP,2022-08-19,19.2362,19.2381,17.0432,17.2269
SYRUP,2022-08-20,17.0665,23.3642,16.49,16.7553
SYRUP,2022-08-21,16.4298,17.048,16.2494,16.6435
SYRUP,2022-08-22,16.7353,16.8795,16.2422,16.8765
